Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2075686_rloop_peak_6945	0	2
SRR2075686_rloop_peak_4229	0	2
SRR2075686_rloop_peak_24471	0	2
SRR2075686_rloop_peak_22684	0	2
SRR2075686_rloop_peak_9586	0	1
SRR2075686_rloop_peak_13121	0	1
SRR2075686_rloop_peak_10391	0	1
SRR2075686_rloop_peak_25050	0	1
SRR2075686_rloop_peak_7023	0	1
SRR2075686_rloop_peak_6915	0	1
SRR2075686_rloop_peak_27829	0	1
SRR2075686_rloop_peak_19638	0	1
SRR2075686_rloop_peak_19637	0	1
SRR2075686_rloop_peak_17886	0	1
SRR2075686_rloop_peak_14487	0	1
SRR2075686_rloop_peak_14308	0	1
SRR2075686_rloop_peak_9634	0	1
SRR2075686_rloop_peak_9084	0	1
SRR2075686_rloop_peak_7259	0	1
SRR2075686_rloop_peak_6927	0	1
SRR2075686_rloop_peak_6912	0	1
SRR2075686_rloop_peak_6615	0	1
SRR2075686_rloop_peak_5590	0	1
SRR2075686_rloop_peak_5320	0	1
SRR2075686_rloop_peak_4578	0	1
SRR2075686_rloop_peak_4359	0	1
SRR2075686_rloop_peak_3252	0	1
SRR2075686_rloop_peak_28817	0	1
SRR2075686_rloop_peak_27913	0	1
SRR2075686_rloop_peak_26533	0	1
SRR2075686_rloop_peak_25525	0	1
SRR2075686_rloop_peak_2530	0	1
SRR2075686_rloop_peak_2391	0	1
SRR2075686_rloop_peak_23733	0	1
SRR2075686_rloop_peak_21745	0	1
SRR2075686_rloop_peak_21557	0	1
SRR2075686_rloop_peak_20838	0	1
SRR2075686_rloop_peak_20821	0	1
SRR2075686_rloop_peak_20454	0	1
SRR2075686_rloop_peak_20438	0	1
SRR2075686_rloop_peak_20379	0	1
SRR2075686_rloop_peak_20091	0	1
SRR2075686_rloop_peak_19840	0	1
SRR2075686_rloop_peak_17400	0	1
SRR2075686_rloop_peak_16045	0	1
SRR2075686_rloop_peak_15704	0	1
SRR2075686_rloop_peak_1478	0	1
SRR2075686_rloop_peak_14678	0	1
SRR2075686_rloop_peak_14430	0	1
SRR2075686_rloop_peak_14316	0	1
SRR2075686_rloop_peak_13745	0	1
SRR2075686_rloop_peak_1183	0	1
SRR2075686_rloop_peak_11817	0	1
SRR2075686_rloop_peak_10867	0	1
SRR2075686_rloop_peak_10570	0	1
SRR2075686_rloop_peak_1057	0	1
SRR2075686_rloop_peak_995	0	1
SRR2075686_rloop_peak_9945	0	1
SRR2075686_rloop_peak_9921	0	1
SRR2075686_rloop_peak_9914	0	1
SRR2075686_rloop_peak_9908	0	1
SRR2075686_rloop_peak_9871	0	1
SRR2075686_rloop_peak_9702	0	1
SRR2075686_rloop_peak_9687	0	1
SRR2075686_rloop_peak_9601	0	1
SRR2075686_rloop_peak_9579	0	1
SRR2075686_rloop_peak_9443	0	1
SRR2075686_rloop_peak_9432	0	1
SRR2075686_rloop_peak_9399	0	1
SRR2075686_rloop_peak_9378	0	1
SRR2075686_rloop_peak_9325	0	1
SRR2075686_rloop_peak_9315	0	1
SRR2075686_rloop_peak_9206	0	1
SRR2075686_rloop_peak_9187	0	1
SRR2075686_rloop_peak_9103	0	1
SRR2075686_rloop_peak_9028	0	1
SRR2075686_rloop_peak_8874	0	1
SRR2075686_rloop_peak_8826	0	1
SRR2075686_rloop_peak_8781	0	1
SRR2075686_rloop_peak_870	0	1
SRR2075686_rloop_peak_8671	0	1
SRR2075686_rloop_peak_8541	0	1
SRR2075686_rloop_peak_8534	0	1
SRR2075686_rloop_peak_8517	0	1
SRR2075686_rloop_peak_8493	0	1
SRR2075686_rloop_peak_8423	0	1
SRR2075686_rloop_peak_8345	0	1
SRR2075686_rloop_peak_8278	0	1
SRR2075686_rloop_peak_8263	0	1
SRR2075686_rloop_peak_8156	0	1
SRR2075686_rloop_peak_8148	0	1
SRR2075686_rloop_peak_8115	0	1
SRR2075686_rloop_peak_8082	0	1
SRR2075686_rloop_peak_80	0	1
SRR2075686_rloop_peak_792	0	1
SRR2075686_rloop_peak_7697	0	1
SRR2075686_rloop_peak_7662	0	1
SRR2075686_rloop_peak_7516	0	1
SRR2075686_rloop_peak_7489	0	1
SRR2075686_rloop_peak_7436	0	1
SRR2075686_rloop_peak_6874	0	1
SRR2075686_rloop_peak_6650	0	1
SRR2075686_rloop_peak_6607	0	1
SRR2075686_rloop_peak_6535	0	1
SRR2075686_rloop_peak_6489	0	1
SRR2075686_rloop_peak_6370	0	1
SRR2075686_rloop_peak_6265	0	1
SRR2075686_rloop_peak_6243	0	1
SRR2075686_rloop_peak_6134	0	1
SRR2075686_rloop_peak_6043	0	1
SRR2075686_rloop_peak_5914	0	1
SRR2075686_rloop_peak_5779	0	1
SRR2075686_rloop_peak_5755	0	1
SRR2075686_rloop_peak_5726	0	1
SRR2075686_rloop_peak_572	0	1
SRR2075686_rloop_peak_56	0	1
SRR2075686_rloop_peak_5404	0	1
SRR2075686_rloop_peak_5222	0	1
SRR2075686_rloop_peak_516	0	1
SRR2075686_rloop_peak_5078	0	1
SRR2075686_rloop_peak_5045	0	1
SRR2075686_rloop_peak_4925	0	1
SRR2075686_rloop_peak_4806	0	1
SRR2075686_rloop_peak_4755	0	1
SRR2075686_rloop_peak_4730	0	1
SRR2075686_rloop_peak_4685	0	1
SRR2075686_rloop_peak_4630	0	1
SRR2075686_rloop_peak_4522	0	1
SRR2075686_rloop_peak_4519	0	1
SRR2075686_rloop_peak_4500	0	1
SRR2075686_rloop_peak_4329	0	1
SRR2075686_rloop_peak_4282	0	1
SRR2075686_rloop_peak_4264	0	1
SRR2075686_rloop_peak_4263	0	1
SRR2075686_rloop_peak_4241	0	1
SRR2075686_rloop_peak_4209	0	1
SRR2075686_rloop_peak_4174	0	1
SRR2075686_rloop_peak_4124	0	1
SRR2075686_rloop_peak_412	0	1
SRR2075686_rloop_peak_4066	0	1
SRR2075686_rloop_peak_4055	0	1
SRR2075686_rloop_peak_4022	0	1
SRR2075686_rloop_peak_3900	0	1
SRR2075686_rloop_peak_389	0	1
SRR2075686_rloop_peak_3853	0	1
SRR2075686_rloop_peak_3846	0	1
SRR2075686_rloop_peak_3839	0	1
SRR2075686_rloop_peak_381	0	1
SRR2075686_rloop_peak_3790	0	1
SRR2075686_rloop_peak_370	0	1
SRR2075686_rloop_peak_3646	0	1
SRR2075686_rloop_peak_3590	0	1
SRR2075686_rloop_peak_3426	0	1
SRR2075686_rloop_peak_3289	0	1
SRR2075686_rloop_peak_3168	0	1
SRR2075686_rloop_peak_3148	0	1
SRR2075686_rloop_peak_3103	0	1
SRR2075686_rloop_peak_308	0	1
SRR2075686_rloop_peak_2954	0	1
SRR2075686_rloop_peak_2931	0	1
SRR2075686_rloop_peak_289	0	1
SRR2075686_rloop_peak_28768	0	1
SRR2075686_rloop_peak_28642	0	1
SRR2075686_rloop_peak_28638	0	1
SRR2075686_rloop_peak_28637	0	1
SRR2075686_rloop_peak_28627	0	1
SRR2075686_rloop_peak_28600	0	1
SRR2075686_rloop_peak_28584	0	1
SRR2075686_rloop_peak_28582	0	1
SRR2075686_rloop_peak_28581	0	1
SRR2075686_rloop_peak_28580	0	1
SRR2075686_rloop_peak_28575	0	1
SRR2075686_rloop_peak_28568	0	1
SRR2075686_rloop_peak_28316	0	1
SRR2075686_rloop_peak_28267	0	1
SRR2075686_rloop_peak_28208	0	1
SRR2075686_rloop_peak_28175	0	1
SRR2075686_rloop_peak_28049	0	1
SRR2075686_rloop_peak_27956	0	1
SRR2075686_rloop_peak_27837	0	1
SRR2075686_rloop_peak_27830	0	1
SRR2075686_rloop_peak_27695	0	1
SRR2075686_rloop_peak_27508	0	1
SRR2075686_rloop_peak_2747	0	1
SRR2075686_rloop_peak_27355	0	1
SRR2075686_rloop_peak_27232	0	1
SRR2075686_rloop_peak_27229	0	1
SRR2075686_rloop_peak_27202	0	1
SRR2075686_rloop_peak_27101	0	1
SRR2075686_rloop_peak_27002	0	1
SRR2075686_rloop_peak_26965	0	1
SRR2075686_rloop_peak_26957	0	1
SRR2075686_rloop_peak_2691	0	1
SRR2075686_rloop_peak_26808	0	1
SRR2075686_rloop_peak_26658	0	1
SRR2075686_rloop_peak_26504	0	1
SRR2075686_rloop_peak_26320	0	1
SRR2075686_rloop_peak_2630	0	1
SRR2075686_rloop_peak_26160	0	1
SRR2075686_rloop_peak_26063	0	1
