Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2075686_rloop_peak_24846	1	88
SRR2075686_rloop_peak_13218	1	75
SRR2075686_rloop_peak_8785	3	66
SRR2075686_rloop_peak_6333	1	60
SRR2075686_rloop_peak_13982	1	47
SRR2075686_rloop_peak_17609	1	45
SRR2075686_rloop_peak_28860	2	44
SRR2075686_rloop_peak_16262	4	40
SRR2075686_rloop_peak_1805	1	40
SRR2075686_rloop_peak_10969	1	38
SRR2075686_rloop_peak_14697	1	38
SRR2075686_rloop_peak_7582	1	31
SRR2075686_rloop_peak_28867	4	29
SRR2075686_rloop_peak_5138	1	29
SRR2075686_rloop_peak_3141	4	24
SRR2075686_rloop_peak_8568	1	24
SRR2075686_rloop_peak_21521	1	22
SRR2075686_rloop_peak_1800	1	18
SRR2075686_rloop_peak_27338	1	17
SRR2075686_rloop_peak_27693	1	16
SRR2075686_rloop_peak_28908	1	16
SRR2075686_rloop_peak_10913	3	15
SRR2075686_rloop_peak_12373	2	15
SRR2075686_rloop_peak_7544	1	15
SRR2075686_rloop_peak_5263	1	15
SRR2075686_rloop_peak_26369	1	15
SRR2075686_rloop_peak_25209	1	15
SRR2075686_rloop_peak_22923	1	15
SRR2075686_rloop_peak_18346	1	15
SRR2075686_rloop_peak_12851	1	14
SRR2075686_rloop_peak_6719	1	14
SRR2075686_rloop_peak_8411	1	14
SRR2075686_rloop_peak_16850	1	14
SRR2075686_rloop_peak_15208	1	14
SRR2075686_rloop_peak_8594	1	14
SRR2075686_rloop_peak_6165	1	14
SRR2075686_rloop_peak_22032	1	14
SRR2075686_rloop_peak_1795	1	14
SRR2075686_rloop_peak_16394	1	14
SRR2075686_rloop_peak_25703	4	13
SRR2075686_rloop_peak_16029	1	13
SRR2075686_rloop_peak_20486	1	13
SRR2075686_rloop_peak_950	1	13
SRR2075686_rloop_peak_2108	1	13
SRR2075686_rloop_peak_17376	1	13
SRR2075686_rloop_peak_14598	1	12
SRR2075686_rloop_peak_17128	1	12
SRR2075686_rloop_peak_17822	1	12
SRR2075686_rloop_peak_2848	1	12
SRR2075686_rloop_peak_8467	1	12
SRR2075686_rloop_peak_10432	1	12
SRR2075686_rloop_peak_8291	1	12
SRR2075686_rloop_peak_14154	1	12
SRR2075686_rloop_peak_12797	1	12
SRR2075686_rloop_peak_10754	1	12
SRR2075686_rloop_peak_5594	1	12
SRR2075686_rloop_peak_2852	1	12
SRR2075686_rloop_peak_27322	1	12
SRR2075686_rloop_peak_20803	1	12
SRR2075686_rloop_peak_20724	1	12
SRR2075686_rloop_peak_20608	1	12
SRR2075686_rloop_peak_2053	1	12
SRR2075686_rloop_peak_13898	1	12
SRR2075686_rloop_peak_12428	1	12
SRR2075686_rloop_peak_19575	2	11
SRR2075686_rloop_peak_7493	9	11
SRR2075686_rloop_peak_630	2	11
SRR2075686_rloop_peak_26637	1	11
SRR2075686_rloop_peak_7667	1	11
SRR2075686_rloop_peak_7161	1	11
SRR2075686_rloop_peak_17378	1	11
SRR2075686_rloop_peak_12969	1	11
SRR2075686_rloop_peak_17810	1	11
SRR2075686_rloop_peak_10052	1	11
SRR2075686_rloop_peak_4892	1	11
SRR2075686_rloop_peak_3140	1	11
SRR2075686_rloop_peak_2944	1	11
SRR2075686_rloop_peak_9983	1	11
SRR2075686_rloop_peak_8736	1	11
SRR2075686_rloop_peak_637	1	11
SRR2075686_rloop_peak_2890	1	11
SRR2075686_rloop_peak_20226	1	11
SRR2075686_rloop_peak_151	1	11
SRR2075686_rloop_peak_15051	1	11
SRR2075686_rloop_peak_6053	5	10
SRR2075686_rloop_peak_9716	2	10
SRR2075686_rloop_peak_3794	1	10
SRR2075686_rloop_peak_2240	1	10
SRR2075686_rloop_peak_18382	1	10
SRR2075686_rloop_peak_11031	1	10
SRR2075686_rloop_peak_8778	1	10
SRR2075686_rloop_peak_8709	1	10
SRR2075686_rloop_peak_8698	1	10
SRR2075686_rloop_peak_8412	1	10
SRR2075686_rloop_peak_7711	1	10
SRR2075686_rloop_peak_6152	1	10
SRR2075686_rloop_peak_26824	1	10
SRR2075686_rloop_peak_26123	1	10
SRR2075686_rloop_peak_16674	1	10
SRR2075686_rloop_peak_127	1	10
SRR2075686_rloop_peak_12080	1	10
SRR2075686_rloop_peak_10525	1	10
SRR2075686_rloop_peak_21545	7	9
SRR2075686_rloop_peak_11890	3	9
SRR2075686_rloop_peak_12083	2	9
SRR2075686_rloop_peak_17553	6	9
SRR2075686_rloop_peak_22131	2	9
SRR2075686_rloop_peak_28616	1	9
SRR2075686_rloop_peak_1904	1	9
SRR2075686_rloop_peak_7491	1	9
SRR2075686_rloop_peak_6831	1	9
SRR2075686_rloop_peak_25387	1	9
SRR2075686_rloop_peak_1715	1	9
SRR2075686_rloop_peak_681	1	9
SRR2075686_rloop_peak_24738	1	9
SRR2075686_rloop_peak_22754	1	9
SRR2075686_rloop_peak_7527	1	9
SRR2075686_rloop_peak_2423	1	9
SRR2075686_rloop_peak_9335	1	9
SRR2075686_rloop_peak_8800	1	9
SRR2075686_rloop_peak_27645	1	9
SRR2075686_rloop_peak_9699	1	9
SRR2075686_rloop_peak_6635	1	9
SRR2075686_rloop_peak_349	1	9
SRR2075686_rloop_peak_27012	1	9
SRR2075686_rloop_peak_25388	1	9
SRR2075686_rloop_peak_24066	1	9
SRR2075686_rloop_peak_23488	1	9
SRR2075686_rloop_peak_21988	1	9
SRR2075686_rloop_peak_18335	1	9
SRR2075686_rloop_peak_1804	1	9
SRR2075686_rloop_peak_17129	1	9
SRR2075686_rloop_peak_1611	1	9
SRR2075686_rloop_peak_12365	1	9
SRR2075686_rloop_peak_3694	4	8
SRR2075686_rloop_peak_27367	2	8
SRR2075686_rloop_peak_16276	2	8
SRR2075686_rloop_peak_8588	1	8
SRR2075686_rloop_peak_7262	1	8
SRR2075686_rloop_peak_14609	1	8
SRR2075686_rloop_peak_12368	1	8
SRR2075686_rloop_peak_8952	1	8
SRR2075686_rloop_peak_3622	1	8
SRR2075686_rloop_peak_25848	1	8
SRR2075686_rloop_peak_2563	1	8
SRR2075686_rloop_peak_21185	1	8
SRR2075686_rloop_peak_20299	1	8
SRR2075686_rloop_peak_15636	1	8
SRR2075686_rloop_peak_15398	1	8
SRR2075686_rloop_peak_21472	3	7
SRR2075686_rloop_peak_28599	3	7
SRR2075686_rloop_peak_21452	2	7
SRR2075686_rloop_peak_25530	2	7
SRR2075686_rloop_peak_6422	3	7
SRR2075686_rloop_peak_26300	2	7
SRR2075686_rloop_peak_13122	2	7
SRR2075686_rloop_peak_15049	1	7
SRR2075686_rloop_peak_3936	1	7
SRR2075686_rloop_peak_5075	1	7
SRR2075686_rloop_peak_27264	1	7
SRR2075686_rloop_peak_23143	1	7
SRR2075686_rloop_peak_7541	2	6
SRR2075686_rloop_peak_13650	2	6
