Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2062968_terra_peak_24222	1	80
SRR2062968_terra_peak_12794	1	75
SRR2062968_terra_peak_8933	3	64
SRR2062968_terra_peak_5955	1	58
SRR2062968_terra_peak_13390	1	45
SRR2062968_terra_peak_30107	2	43
SRR2062968_terra_peak_16986	1	41
SRR2062968_terra_peak_13897	1	38
SRR2062968_terra_peak_15521	4	37
SRR2062968_terra_peak_1969	1	37
SRR2062968_terra_peak_10896	2	35
SRR2062968_terra_peak_30199	4	29
SRR2062968_terra_peak_4851	1	29
SRR2062968_terra_peak_7510	1	28
SRR2062968_terra_peak_3466	4	24
SRR2062968_terra_peak_8517	1	24
SRR2062968_terra_peak_20477	1	22
SRR2062968_terra_peak_1935	1	18
SRR2062968_terra_peak_27171	1	17
SRR2062968_terra_peak_27437	1	16
SRR2062968_terra_peak_30208	1	16
SRR2062968_terra_peak_10778	3	15
SRR2062968_terra_peak_11941	2	15
SRR2062968_terra_peak_22804	1	15
SRR2062968_terra_peak_17830	1	15
SRR2062968_terra_peak_7108	1	15
SRR2062968_terra_peak_4973	1	15
SRR2062968_terra_peak_26207	1	15
SRR2062968_terra_peak_24665	1	15
SRR2062968_terra_peak_8331	3	14
SRR2062968_terra_peak_6466	1	14
SRR2062968_terra_peak_12316	1	14
SRR2062968_terra_peak_14414	1	14
SRR2062968_terra_peak_16173	1	14
SRR2062968_terra_peak_8560	1	14
SRR2062968_terra_peak_5786	1	14
SRR2062968_terra_peak_21192	1	14
SRR2062968_terra_peak_1925	1	14
SRR2062968_terra_peak_15624	1	14
SRR2062968_terra_peak_25293	4	13
SRR2062968_terra_peak_15042	1	13
SRR2062968_terra_peak_19424	1	13
SRR2062968_terra_peak_895	1	13
SRR2062968_terra_peak_2290	1	13
SRR2062968_terra_peak_16610	1	13
SRR2062968_terra_peak_13775	1	12
SRR2062968_terra_peak_16300	1	12
SRR2062968_terra_peak_17232	1	12
SRR2062968_terra_peak_2944	1	12
SRR2062968_terra_peak_8384	1	12
SRR2062968_terra_peak_10155	1	12
SRR2062968_terra_peak_8190	1	12
SRR2062968_terra_peak_19696	1	12
SRR2062968_terra_peak_27121	1	12
SRR2062968_terra_peak_13575	1	12
SRR2062968_terra_peak_12276	1	12
SRR2062968_terra_peak_10461	1	12
SRR2062968_terra_peak_5172	1	12
SRR2062968_terra_peak_2949	1	12
SRR2062968_terra_peak_2235	1	12
SRR2062968_terra_peak_19628	1	12
SRR2062968_terra_peak_19530	1	12
